id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,longitud_antena_mm,num_segmentos_antena,longitud_pata_anterior_mm,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_tarso_mm,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,num_estrias_elitro,num_puntos_pronoto,longitud_espolon_mm,peso_mg,ratio_largo_ancho,ratio_antena_cuerpo,ratio_pata_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,longitud_ala_mm,envergadura_mm,coloracion
ESP004732,,8.63,6.97,5.36,3.79,4.59,6.42,9.0,6.22,8.25,3.9,,2.3,1.79,1.03,1.52,7,49.0,0.77,135,2.03,0.453,0.582,77.0,226.7,11.31,29.59,marron
ESP004733,13.68,8.53,6.14,4.58,3.36,4.45,5.76,8.0,5.59,7.71,3.59,3.4,2.15,1.73,0.75,1.29,9,40.0,0.3,67,2.23,0.421,0.564,65.5,186.9,,27.22,negro
ESP004734,12.47,8.2,7.24,5.74,4.45,3.29,5.46,9.0,5.64,7.55,3.64,3.34,1.99,1.92,1.01,1.44,9,52.0,1.06,86,1.72,0.438,0.605,70.4,148.5,9.35,25.94,rojizo
ESP004735,12.69,7.68,5.8,4.36,3.38,3.56,5.48,8.0,4.93,7.88,3.69,3.09,2.21,1.6,0.9,1.2,10,32.0,0.92,95,2.19,0.432,0.621,57.4,131.0,11.04,27.88,metalico
ESP004736,9.95,5.86,5.42,4.2,3.22,,5.49,9.0,4.96,6.9,3.0,2.88,1.92,1.46,0.71,1.14,7,48.0,0.3,17,1.84,0.552,0.693,42.1,91.9,8.77,22.96,negro
ESP004737,12.17,7.7,6.91,5.69,3.87,4.31,4.94,,5.24,7.32,3.66,3.29,1.86,2.1,1.0,1.24,10,46.0,0.5,63,1.76,0.406,0.601,65.6,181.2,10.16,27.23,metalico
ESP004738,18.85,11.68,8.16,6.7,4.3,4.57,8.31,11.0,7.53,11.43,5.34,4.9,3.15,2.22,1.18,2.16,10,64.0,1.19,198,2.31,0.441,0.606,120.0,351.5,15.45,39.06,metalico
ESP004739,13.65,8.04,6.84,5.6,3.6,3.95,5.86,,6.07,8.46,3.87,3.44,2.27,1.78,0.95,1.44,7,54.0,0.41,101,2.0,0.429,0.62,72.8,184.4,10.63,28.1,marron
ESP004740,20.79,12.88,8.28,6.23,,5.99,9.43,,7.99,13.25,6.49,5.52,3.66,2.39,1.15,2.13,10,,1.29,219,2.51,0.454,0.637,134.3,515.6,,39.9,rojizo
ESP004741,18.03,11.55,7.91,6.35,,6.37,8.39,11.0,7.66,10.66,4.99,4.12,2.72,2.11,1.24,,9,64.0,0.74,207,2.28,0.465,0.591,111.2,454.2,14.04,35.99,marron
ESP004742,12.86,7.73,5.52,4.35,3.32,3.91,5.24,9.0,5.1,7.08,3.21,3.33,1.9,1.45,0.75,1.3,7,24.0,0.67,89,2.33,0.407,0.551,55.4,138.8,9.44,24.4,negro
ESP004743,18.42,11.7,6.85,5.74,3.74,,8.65,11.0,7.24,10.5,4.91,4.18,3.05,1.79,0.95,2.06,11,73.0,0.78,188,2.69,0.47,0.57,98.4,333.1,14.45,35.75,rojizo
ESP004744,9.87,6.78,5.43,4.34,3.25,3.7,4.12,10.0,4.21,5.73,2.56,2.43,1.57,1.52,0.62,,7,,0.63,42,1.82,0.417,0.581,41.8,99.1,8.49,22.41,negro
ESP004745,19.48,11.73,8.91,7.12,4.81,5.39,8.63,12.0,7.77,10.73,4.74,4.68,2.96,2.41,1.21,2.29,11,72.0,1.29,214,2.19,0.443,,135.4,467.8,14.52,37.95,metalico
ESP004746,19.9,12.78,6.89,5.3,3.78,4.63,9.04,11.0,7.6,12.29,5.91,5.23,3.48,1.87,0.97,1.73,12,64.0,0.98,206,2.89,,0.618,106.9,317.4,15.43,37.75,marron
ESP004747,12.79,7.77,6.38,5.22,3.26,3.91,6.75,7.0,5.03,7.69,3.4,3.32,1.85,1.98,0.92,1.7,9,37.0,0.66,93,2.0,0.528,0.601,63.6,159.5,10.7,27.78,metalico
ESP004748,21.59,13.59,10.22,8.01,5.39,6.15,9.97,11.0,8.17,12.89,6.09,5.34,3.69,2.8,1.36,2.27,10,,1.36,261,2.11,0.462,0.597,172.1,678.5,16.78,43.78,marron
ESP004749,10.15,5.99,5.12,4.38,,3.7,4.38,7.0,4.07,6.34,2.8,2.63,1.52,1.32,0.66,1.02,9,47.0,0.66,5,1.98,0.432,0.625,40.5,96.1,8.48,22.08,marron
ESP004750,12.58,7.64,6.49,5.16,3.87,4.02,6.8,8.0,4.68,7.98,3.39,3.25,2.38,1.77,0.85,1.66,8,33.0,0.93,62,1.94,,0.634,63.7,164.1,10.01,26.51,negro
ESP004751,12.01,7.19,5.65,4.87,3.31,3.91,5.46,9.0,5.3,7.41,,2.81,1.99,1.73,0.79,1.04,8,,0.99,57,2.13,0.455,,52.9,132.7,10.02,25.69,negro
ESP004752,12.36,7.51,6.01,4.82,3.29,4.1,6.73,9.0,6.05,7.65,3.08,3.13,2.28,1.59,0.75,1.48,7,35.0,0.56,67,2.06,0.544,0.619,57.9,152.3,10.57,27.15,rojizo
ESP004753,22.44,13.77,8.68,6.94,4.88,6.23,10.2,11.0,8.77,12.28,5.68,5.13,3.59,2.24,1.16,2.36,9,61.0,1.25,264,2.59,0.455,0.547,151.9,606.7,16.44,41.56,marron
ESP004754,11.58,6.98,5.65,4.73,3.14,3.48,5.49,,4.79,7.1,3.39,2.82,2.02,1.51,0.73,,8,,0.87,48,2.05,0.474,0.613,51.0,113.8,8.91,23.47,metalico
ESP004755,18.79,11.71,8.12,6.83,4.28,5.71,8.83,8.0,7.36,10.93,4.91,4.13,3.0,2.3,1.14,1.92,10,44.0,1.07,211,2.31,0.47,0.582,119.0,435.6,14.7,37.52,negro
ESP004756,20.85,13.03,8.3,6.43,,6.15,9.12,12.0,7.94,12.11,,,3.35,2.29,1.17,2.35,11,63.0,1.04,251,2.51,0.437,,135.0,532.1,15.1,38.5,marron
ESP004757,12.58,8.15,6.73,5.3,3.71,3.55,5.61,7.0,6.08,8.95,4.32,3.86,2.54,1.71,0.88,1.46,9,54.0,0.63,118,1.87,0.446,0.711,66.0,150.3,10.98,28.69,negro
ESP004758,11.82,7.12,5.35,4.06,2.9,3.95,5.37,8.0,4.67,7.04,3.15,2.76,1.73,1.45,0.81,1.19,11,41.0,0.5,50,2.21,0.454,0.596,49.3,124.9,9.64,24.63,negro
ESP004759,12.78,8.12,6.42,4.94,3.57,4.07,6.81,8.0,5.25,7.96,3.62,3.17,2.34,1.85,0.69,1.64,9,41.0,0.51,123,1.99,0.533,0.623,64.0,167.0,10.38,27.18,negro
ESP004760,19.0,12.01,7.73,6.13,4.1,4.81,9.03,11.0,7.61,11.24,5.1,4.68,3.18,2.13,0.99,2.43,11,62.0,0.92,211,2.46,0.475,0.592,114.6,353.2,,38.35,metalico
ESP004761,20.16,12.11,7.92,6.61,4.08,6.01,9.24,,8.07,11.03,5.02,4.53,3.02,2.14,0.98,2.13,10,40.0,0.98,231,2.55,0.458,0.547,124.5,479.8,15.94,39.8,marron
ESP004762,12.03,7.48,5.99,4.56,3.02,3.6,6.24,8.0,5.6,7.46,3.22,2.98,1.85,1.65,0.77,1.24,9,21.0,0.56,84,2.01,0.519,0.62,56.2,129.7,10.58,27.15,metalico
ESP004763,19.01,11.97,7.3,5.86,4.22,6.12,8.68,12.0,7.27,11.5,5.16,4.33,3.12,2.03,0.96,1.93,13,60.0,0.9,206,2.6,0.457,0.605,108.2,424.6,16.09,39.48,marron
ESP004764,,11.51,7.17,5.47,3.88,4.87,8.63,10.0,7.14,11.49,5.36,4.97,3.14,2.09,1.02,2.06,12,36.0,0.72,195,2.57,0.468,0.623,103.2,322.1,14.87,36.91,metalico
ESP004765,20.4,13.19,8.33,6.64,4.76,5.61,9.94,11.0,8.24,11.69,5.16,4.94,3.45,2.37,1.27,2.38,10,60.0,1.04,238,2.45,0.487,0.573,132.5,476.7,16.84,42.01,metalico
ESP004766,,7.79,6.07,5.15,3.21,,5.4,,4.65,7.36,3.57,2.96,2.19,1.75,0.88,1.41,8,24.0,0.5,66,2.01,,0.603,57.8,109.2,8.93,23.93,negro
ESP004767,10.88,6.87,5.77,4.24,3.18,,5.45,8.0,5.09,6.83,3.19,2.95,2.03,1.61,0.84,1.16,8,34.0,0.59,56,1.89,0.501,0.628,49.0,114.6,10.05,25.87,negro
ESP004768,13.73,8.46,6.57,5.05,3.52,4.09,6.71,8.0,5.63,8.75,4.11,3.88,2.58,1.83,0.92,1.53,9,34.0,1.05,100,2.09,,0.637,70.4,184.5,10.68,27.93,negro
ESP004769,11.76,7.37,6.84,5.55,3.96,3.3,5.58,8.0,5.28,6.03,2.91,2.43,1.87,1.9,0.87,1.41,8,,0.71,77,1.72,0.474,0.513,62.7,132.7,8.01,22.86,rojizo
ESP004770,11.97,7.29,5.72,4.47,3.31,3.91,6.67,8.0,5.43,7.91,3.5,3.33,2.16,1.4,0.68,1.17,9,33.0,0.5,83,2.09,0.557,0.661,53.4,133.9,,24.32,marron
ESP004771,16.69,10.65,6.22,4.98,3.4,,7.87,11.0,6.71,9.62,4.25,3.78,2.58,1.77,0.88,2.04,11,35.0,0.72,140,2.68,0.472,0.576,81.0,240.8,14.07,34.36,metalico
ESP004772,20.35,12.77,8.19,6.69,4.34,,8.53,10.0,8.03,12.03,,5.02,3.42,2.22,1.2,2.29,10,60.0,0.82,218,2.48,0.419,0.591,130.0,525.8,16.11,40.41,marron
ESP004773,12.0,7.26,5.43,4.21,3.01,4.24,5.9,9.0,5.1,7.6,3.42,3.45,2.06,1.53,0.78,,7,48.0,0.79,55,2.21,0.492,0.633,50.8,138.1,9.55,24.53,marron
ESP004774,22.08,14.13,9.48,7.63,5.3,6.2,10.32,10.0,8.18,12.63,5.67,5.51,3.46,2.69,1.32,2.46,10,,1.12,257,2.33,0.467,0.572,163.3,648.9,16.72,42.92,negro
ESP004775,14.18,8.8,6.19,4.88,3.43,3.78,5.47,7.0,5.59,7.55,3.29,2.86,2.21,1.89,0.95,1.15,8,16.0,0.66,68,2.29,0.386,0.532,68.5,165.9,10.13,26.45,negro
ESP004776,20.98,12.74,8.35,6.82,4.45,5.67,9.22,,7.57,12.3,5.51,,3.55,2.2,1.21,,12,59.0,0.96,229,2.51,0.439,0.586,136.6,496.6,15.77,39.89,metalico
ESP004777,18.99,12.3,6.65,5.56,3.95,5.43,8.03,11.0,6.91,11.76,5.43,4.59,3.08,1.84,0.91,,13,59.0,0.87,185,2.86,0.423,0.619,98.5,342.9,15.59,37.83,metalico
ESP004778,15.46,9.61,7.03,5.96,3.65,4.29,6.74,8.0,5.96,8.77,4.22,3.61,2.39,1.93,0.97,1.55,9,53.0,0.76,130,2.2,0.436,0.567,84.8,233.1,13.05,33.13,negro
ESP004779,11.56,7.38,4.86,3.82,2.63,3.17,5.5,8.0,5.2,7.31,3.35,3.43,1.99,1.3,0.71,1.04,8,,0.89,50,2.38,0.476,0.632,43.8,89.0,10.03,24.92,marron
ESP004780,13.95,8.72,5.94,5.17,2.92,,5.49,9.0,5.45,7.61,3.31,3.42,2.27,1.73,0.93,1.52,9,35.0,0.84,68,2.35,0.394,0.546,64.6,170.7,10.18,26.3,marron
ESP004781,13.7,8.73,6.43,4.98,,4.11,6.11,8.0,5.79,8.23,3.44,3.21,2.5,1.91,0.85,1.8,8,,0.85,101,2.13,0.446,0.601,68.7,181.0,11.99,30.41,negro
ESP004782,10.34,6.29,6.36,5.19,3.58,3.76,5.32,7.0,5.19,6.51,2.91,2.8,2.0,1.63,0.84,1.28,9,29.0,0.47,67,1.63,0.515,0.63,51.3,123.6,9.32,25.0,marron
ESP004783,12.41,7.79,5.4,4.17,2.83,4.07,5.63,9.0,5.05,7.22,,2.82,2.07,1.48,0.79,1.5,8,19.0,0.94,61,2.3,0.454,,52.3,136.4,,24.12,marron
ESP004784,,11.08,6.59,5.11,3.22,5.41,9.06,12.0,6.99,11.38,5.37,5.22,3.15,1.72,1.01,1.86,11,28.0,0.67,192,2.76,0.498,0.625,93.6,324.6,15.11,36.81,negro
ESP004785,14.14,9.11,6.16,4.93,3.78,4.34,5.94,9.0,5.88,8.77,4.22,3.72,2.33,1.52,0.93,1.2,9,49.0,0.69,88,2.3,0.42,0.62,67.9,189.0,12.35,30.86,negro
ESP004786,10.46,6.52,5.34,4.45,2.93,4.08,4.32,,4.04,6.2,2.66,2.58,1.81,1.4,0.73,1.55,10,40.0,0.62,48,1.96,0.413,0.593,43.6,113.9,7.88,21.1,negro
ESP004787,20.33,12.54,8.09,6.53,4.17,5.97,9.62,11.0,7.73,11.31,5.07,4.74,3.07,2.36,1.05,2.21,12,64.0,0.99,193,2.51,0.473,0.556,128.3,490.9,15.82,39.73,negro
ESP004788,11.74,7.48,5.62,4.65,3.28,4.29,6.47,8.0,5.32,8.06,3.74,3.4,2.34,1.61,0.7,1.2,8,53.0,0.55,52,2.09,0.551,,51.5,141.5,9.62,24.86,metalico
ESP004789,14.7,9.53,6.25,5.18,,4.39,6.59,9.0,5.79,8.67,,3.58,2.55,1.78,0.81,1.48,9,52.0,0.46,87,2.35,0.448,0.59,71.7,201.7,12.01,30.27,marron
ESP004790,24.36,15.07,9.59,7.82,5.47,6.92,10.7,10.0,9.42,14.35,6.35,5.84,3.88,2.78,1.3,2.52,10,47.0,1.22,334,2.54,0.439,0.589,182.2,808.3,19.02,47.63,metalico
ESP004791,,9.07,6.53,5.4,3.45,4.42,6.47,8.0,6.48,8.09,3.58,3.53,2.17,1.65,0.7,1.53,9,54.0,0.74,104,2.28,0.435,0.544,75.7,214.4,12.66,31.85,negro
ESP004792,11.47,7.06,5.16,4.19,,3.51,6.3,8.0,4.95,6.91,3.24,2.78,2.13,1.63,0.66,1.04,8,67.0,0.66,65,2.22,0.549,0.602,46.2,103.9,10.35,25.86,marron
ESP004793,12.08,7.28,6.71,4.83,3.76,,5.99,8.0,5.22,6.76,3.11,2.88,1.87,1.95,0.95,1.33,10,58.0,0.9,72,1.8,,0.56,63.2,147.5,10.04,26.79,negro
ESP004794,,10.68,6.95,5.73,4.1,4.94,7.56,,7.0,9.92,4.75,3.81,2.74,1.99,0.95,1.66,12,50.0,0.98,176,2.54,0.429,0.562,95.6,302.8,14.33,35.61,metalico
ESP004795,13.32,8.34,5.91,4.97,3.41,4.56,5.98,9.0,5.98,8.09,3.81,3.52,2.13,1.51,0.82,,8,39.0,0.88,93,2.25,0.449,,61.4,179.5,10.72,27.35,marron
ESP004796,19.26,12.07,8.48,6.56,4.58,4.99,8.28,11.0,7.21,11.24,5.11,4.56,3.13,2.22,1.22,2.37,8,64.0,1.38,227,2.27,0.43,0.584,127.4,407.5,15.47,39.42,negro
ESP004797,17.76,10.8,6.9,5.35,3.61,5.35,8.49,10.0,7.15,9.69,4.89,4.04,2.76,2.03,0.77,1.89,12,52.0,1.0,181,2.57,0.478,0.546,95.6,327.8,14.36,35.62,metalico
ESP004798,21.76,13.48,9.12,7.13,4.99,,10.02,10.0,7.8,12.77,5.99,5.46,3.74,2.5,1.31,2.54,10,58.0,0.83,248,2.39,0.46,0.587,154.8,663.8,16.89,42.9,rojizo
ESP004799,12.31,7.2,6.71,5.33,,3.61,5.99,9.0,5.68,7.54,3.49,2.89,2.04,2.03,0.91,1.22,9,34.0,0.69,87,1.83,0.487,0.613,64.4,149.1,,28.27,metalico
ESP004800,10.13,6.2,4.97,4.02,2.51,3.16,5.71,8.0,3.88,6.62,3.37,3.02,1.93,1.39,0.72,1.22,9,15.0,0.65,17,2.04,0.564,0.654,39.3,79.5,7.59,20.15,negro
ESP004801,19.96,12.56,6.43,5.24,3.5,4.64,8.79,11.0,6.81,11.26,5.08,4.86,3.21,1.67,0.81,1.77,12,72.0,0.8,166,3.1,0.44,0.564,100.1,297.8,15.01,36.45,metalico
ESP004802,19.16,11.73,7.45,6.02,4.23,5.62,9.09,11.0,7.53,10.49,4.71,4.11,3.2,2.08,0.95,1.97,11,56.0,0.7,218,2.57,0.474,0.547,111.3,401.1,15.76,38.97,negro
ESP004803,,13.69,8.8,7.21,4.88,,9.77,12.0,8.43,12.8,5.82,5.29,3.56,2.45,1.22,2.09,7,65.0,1.29,292,2.46,0.451,0.591,148.6,623.0,17.23,43.26,metalico
ESP004804,20.47,12.72,8.17,6.39,4.64,6.18,9.91,11.0,7.43,11.92,5.6,5.24,3.16,2.11,1.1,2.44,13,60.0,0.91,178,2.51,0.484,0.582,130.4,516.8,16.67,41.51,metalico
ESP004805,21.28,13.47,8.69,7.34,4.73,6.01,10.12,10.0,7.96,12.13,5.92,,3.44,2.34,1.21,2.2,9,56.0,1.09,264,2.45,0.476,0.57,144.2,555.7,16.54,41.77,metalico
ESP004806,19.52,11.84,7.52,5.9,4.16,5.63,8.81,11.0,7.58,11.98,5.15,5.12,3.42,2.04,1.11,2.31,13,44.0,1.13,210,2.6,0.451,0.614,114.5,413.2,16.15,39.82,metalico
ESP004807,22.85,13.96,9.06,6.92,4.97,5.97,10.18,11.0,8.87,13.09,6.39,5.45,3.72,2.63,1.23,2.35,11,56.0,1.42,305,2.52,0.446,0.573,161.5,618.0,16.38,41.82,metalico
ESP004808,11.3,7.02,5.39,4.45,2.98,3.52,5.63,9.0,4.7,7.08,3.15,2.79,2.14,1.57,0.73,1.35,7,41.0,0.6,40,2.1,0.498,0.627,47.5,107.2,10.29,25.97,metalico
ESP004809,10.19,6.21,5.98,5.07,3.17,3.38,5.17,9.0,4.9,6.63,2.96,2.6,1.9,1.63,0.79,1.06,9,31.0,0.72,43,1.7,0.507,0.651,47.5,103.0,9.0,23.98,negro
ESP004810,,11.99,6.54,5.02,3.58,5.13,9.72,12.0,7.43,12.31,5.49,5.15,3.53,1.85,0.83,2.22,11,74.0,0.98,195,2.99,0.497,0.629,99.8,328.3,15.91,38.36,marron
ESP004811,19.86,12.49,7.61,6.28,3.98,5.69,8.91,12.0,7.78,13.16,5.84,5.68,3.68,2.2,1.04,1.97,11,53.0,0.9,212,2.61,0.449,0.663,117.9,430.0,14.36,36.33,marron
ESP004812,11.69,7.83,5.98,4.68,3.04,3.65,5.49,8.0,5.57,7.71,3.26,3.4,2.13,1.76,0.74,1.44,9,38.0,0.88,94,1.95,0.47,0.66,54.5,127.6,10.48,26.94,negro
ESP004813,11.08,7.02,5.71,4.35,2.96,4.26,5.54,8.0,5.19,7.09,3.43,2.96,1.99,1.82,0.67,,9,37.0,0.7,11,1.94,0.5,0.64,49.3,134.8,9.13,23.97,marron
ESP004814,20.4,12.54,8.64,7.02,4.93,5.65,9.87,12.0,7.95,12.69,5.76,5.19,3.49,2.33,1.25,2.27,10,58.0,1.07,205,2.36,0.484,0.622,137.5,497.9,17.46,43.56,negro
ESP004815,12.58,7.92,6.67,5.41,3.59,4.05,5.66,7.0,5.55,6.93,2.83,2.96,1.92,1.84,0.97,1.15,10,5.0,0.69,92,1.89,0.45,0.551,65.4,169.9,9.36,25.39,marron
ESP004816,14.07,8.76,6.81,5.58,3.7,4.24,6.62,9.0,5.31,8.63,3.88,3.79,2.42,1.58,0.89,1.62,8,34.0,0.58,96,2.07,0.471,0.613,74.7,203.1,11.74,30.29,marron
ESP004817,20.07,12.62,6.09,5.08,3.62,5.74,8.78,11.0,6.71,10.71,4.51,4.69,2.9,1.67,0.71,2.14,10,45.0,0.79,168,3.3,0.437,0.534,95.3,350.8,15.31,36.71,metalico
ESP004818,12.08,7.32,5.1,3.98,2.91,4.11,4.76,10.0,5.55,7.19,3.51,2.98,1.99,1.56,0.61,0.8,10,35.0,0.68,72,2.37,0.394,0.595,48.1,126.6,9.72,24.54,marron
ESP004819,18.46,11.09,6.74,5.06,3.74,4.69,8.31,11.0,6.75,11.3,5.18,4.94,3.07,1.85,0.95,1.71,10,64.0,0.83,171,2.74,0.45,0.612,97.0,291.8,13.97,34.68,negro
ESP004820,11.0,7.18,5.15,4.34,2.92,3.7,5.73,,4.55,7.19,3.84,,1.99,1.23,0.63,1.41,9,27.0,1.05,33,2.14,0.521,0.654,44.2,104.8,8.85,22.85,negro
ESP004821,13.89,8.74,5.73,4.85,3.22,4.03,5.73,9.0,5.13,7.71,3.27,3.03,2.32,1.37,0.68,1.38,10,53.0,0.74,79,2.42,0.413,0.555,62.1,160.4,,27.91,negro
ESP004822,21.66,13.73,8.65,6.7,4.94,6.37,9.97,12.0,8.2,12.85,5.98,5.65,3.55,2.07,1.05,2.32,11,75.0,0.83,256,2.5,0.46,0.593,146.1,596.7,15.61,39.87,negro
ESP004823,11.46,7.2,6.57,5.35,3.67,2.82,4.84,9.0,4.53,6.69,3.0,2.95,1.91,1.81,0.89,,7,65.0,0.78,40,1.74,,0.584,58.7,106.2,8.59,23.75,negro
ESP004824,11.71,7.39,5.92,4.49,,3.8,4.8,,4.63,7.18,3.37,2.96,2.13,1.61,0.79,1.64,9,35.0,0.74,22,1.98,0.41,0.613,54.1,131.7,9.4,24.72,negro
ESP004825,12.73,7.7,6.13,4.92,3.4,3.94,5.7,9.0,5.26,7.6,3.61,3.16,2.03,1.73,0.92,1.38,8,44.0,0.51,82,2.08,0.448,0.597,60.9,153.7,9.98,26.09,negro
ESP004826,18.4,11.54,6.9,5.25,3.86,5.08,8.97,,6.33,10.84,5.17,4.48,3.04,1.99,0.85,1.96,11,51.0,1.18,183,2.67,0.488,0.589,99.0,322.5,15.12,37.14,metalico
ESP004827,14.16,8.06,7.2,5.93,3.93,3.94,6.57,,6.22,7.38,3.7,3.27,2.09,2.0,0.98,,11,64.0,0.85,100,1.97,0.464,0.521,79.5,200.8,10.5,28.2,rojizo
ESP004828,21.1,13.11,8.6,7.31,4.83,6.1,10.22,12.0,7.77,12.33,5.94,5.05,3.36,2.37,1.29,2.05,9,58.0,1.21,264,2.45,,0.584,141.5,553.5,16.6,41.8,marron
ESP004829,20.4,12.44,8.82,7.53,4.78,,9.56,11.0,7.96,12.2,5.67,5.28,3.48,2.55,1.22,2.25,9,61.0,1.18,235,2.31,0.469,0.598,140.3,506.5,16.27,41.36,marron
ESP004830,19.09,12.25,8.1,6.67,4.65,5.0,8.43,10.0,6.86,10.59,4.83,4.33,2.91,2.26,1.1,2.02,10,,0.96,208,2.36,0.442,0.555,120.6,386.6,13.68,35.46,metalico
ESP004831,18.13,10.96,6.03,4.37,3.38,4.65,7.94,12.0,7.38,10.49,4.84,4.19,2.77,1.72,0.78,2.0,9,59.0,0.85,148,3.01,0.438,0.579,85.3,254.2,,34.49,metalico
ESP004832,19.77,12.51,7.14,5.9,,5.77,9.57,11.0,7.32,11.69,5.3,5.25,3.32,2.03,0.94,2.42,12,34.0,0.91,205,2.77,0.484,0.591,110.1,407.2,16.69,40.52,negro
ESP004833,10.9,7.06,5.8,4.6,3.41,,5.34,8.0,5.2,7.43,3.5,3.14,2.18,1.61,0.8,1.08,9,32.0,0.62,67,1.88,0.49,0.682,49.3,140.3,8.93,23.66,marron
ESP004834,,11.82,6.59,5.29,3.9,5.79,9.27,12.0,7.24,12.12,5.8,,3.51,1.91,1.01,2.06,12,74.0,0.95,153,2.81,0.5,0.654,95.3,353.7,14.62,35.83,metalico
ESP004835,12.89,7.96,5.64,4.57,2.99,4.2,6.2,7.0,5.57,8.47,3.83,3.65,2.39,1.54,0.7,,9,34.0,0.72,115,2.29,0.481,0.657,56.7,152.7,10.41,26.46,marron
ESP004836,19.33,12.03,6.6,5.46,3.4,5.35,8.83,,6.93,10.38,4.74,4.34,3.0,1.87,0.93,1.78,12,63.0,1.06,168,2.93,,0.537,99.5,341.3,13.75,34.1,marron
ESP004837,13.18,8.43,5.52,4.32,3.04,3.66,6.89,8.0,5.81,8.0,3.61,3.36,2.41,1.62,0.79,1.48,9,22.0,0.47,85,2.39,0.523,0.607,56.7,133.1,,27.26,marron
ESP004838,20.61,12.75,7.28,5.64,4.12,5.61,9.5,11.0,7.28,11.95,5.56,5.07,3.42,2.09,1.11,1.89,10,50.0,0.83,235,2.83,0.461,0.58,117.0,420.9,15.4,38.08,metalico
ESP004839,,13.96,8.93,6.91,5.1,5.82,10.81,11.0,7.7,12.24,5.94,5.28,3.62,2.51,1.29,2.33,11,62.0,0.89,260,2.45,0.494,0.56,152.3,568.3,15.53,39.99,negro
ESP004840,20.78,12.89,6.64,5.21,3.6,5.62,9.67,11.0,7.09,11.6,5.24,5.11,3.2,1.94,0.88,1.98,9,76.0,1.09,226,3.13,0.465,0.558,107.6,387.7,15.24,37.12,marron
ESP004841,,6.87,6.08,5.17,2.93,,5.21,8.0,5.06,6.72,3.16,2.57,1.88,1.44,0.95,1.09,9,27.0,0.79,83,1.85,0.462,0.596,53.4,116.1,8.55,23.18,marron
ESP004842,9.78,6.34,5.58,4.58,3.0,4.05,4.69,7.0,4.98,7.16,3.51,3.01,1.97,1.41,0.86,1.17,10,24.0,0.48,48,1.75,0.48,0.732,42.6,110.5,9.43,24.44,rojizo
ESP004843,15.12,9.23,6.38,5.12,3.61,4.55,6.82,,5.21,9.03,4.1,4.05,2.6,1.84,0.87,1.51,8,49.0,0.55,126,2.37,0.451,0.597,75.2,219.5,12.06,30.5,negro
ESP004844,11.48,6.94,6.24,4.92,3.11,3.58,5.37,,5.3,7.82,3.5,3.6,2.36,1.71,0.86,,8,37.0,0.78,70,1.84,0.468,0.681,55.9,128.2,8.74,23.72,negro
ESP004845,12.38,7.82,6.24,5.16,3.45,4.21,6.15,10.0,5.68,7.6,3.37,3.19,2.07,1.43,0.83,1.45,8,35.0,0.81,50,1.98,0.497,0.614,60.3,162.6,9.72,25.68,marron
ESP004846,20.69,12.78,8.61,6.81,4.72,5.29,8.91,12.0,7.94,12.48,5.83,5.3,3.57,2.23,1.26,1.95,12,62.0,1.07,236,2.4,,,138.9,471.2,16.12,40.85,metalico
ESP004847,10.59,6.72,5.78,4.38,3.21,3.8,4.58,9.0,5.2,6.75,3.19,2.6,1.97,1.5,0.79,0.9,7,,1.19,55,1.83,0.432,0.637,47.7,116.3,9.62,25.02,marron
ESP004848,17.95,10.9,7.01,5.08,4.0,4.86,7.69,11.0,6.46,10.13,4.61,4.33,2.83,2.07,0.96,1.92,10,56.0,0.63,158,2.56,0.428,0.564,98.1,305.8,12.8,32.61,metalico
ESP004849,20.25,12.85,8.68,6.91,4.84,5.76,9.07,11.0,7.43,11.93,5.83,,3.37,2.43,1.22,2.31,12,73.0,1.13,241,2.33,0.448,0.589,137.1,506.2,15.71,40.1,negro
ESP004850,12.54,7.64,5.28,4.58,3.1,3.99,6.03,8.0,5.62,7.09,3.17,3.17,2.16,1.49,0.74,1.09,10,29.0,0.64,72,2.37,0.481,0.565,51.6,132.1,9.98,25.24,negro
ESP004851,12.25,7.4,6.83,5.46,3.91,3.99,5.52,9.0,5.84,7.42,3.31,3.01,2.04,1.89,0.97,1.17,10,53.0,0.6,91,1.79,0.451,0.606,65.3,166.9,11.0,28.83,marron
ESP004852,14.19,9.28,5.86,4.96,3.0,4.2,6.02,8.0,6.01,9.24,4.32,4.08,2.61,1.5,0.85,1.4,8,36.0,0.37,91,2.42,0.424,0.651,64.9,174.6,10.63,27.12,negro
ESP004853,18.39,11.29,7.18,5.39,3.76,,8.52,12.0,7.45,11.34,5.45,4.81,3.26,1.98,1.02,1.92,11,,0.95,172,2.56,0.463,0.617,103.0,367.7,14.92,37.02,metalico
ESP004854,12.17,7.13,6.19,4.88,3.36,3.66,6.21,9.0,5.51,7.98,3.74,3.24,2.3,1.75,0.83,1.18,8,34.0,0.96,86,1.97,0.51,0.656,58.8,137.9,9.96,26.11,metalico
